Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     79.74     0.00       29     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*, std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*, unsigned long long const&)
  0.00     79.74     0.00       29     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::end()
  0.00     79.74     0.00       29     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::find(unsigned long long const&)
  0.00     79.74     0.00       29     0.00     0.00  std::multimap<unsigned long long, species*, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::find(unsigned long long const&)
  0.00     79.74     0.00       29     0.00     0.00  std::pair<unsigned long long const, species*>* std::__addressof<std::pair<unsigned long long const, species*> >(std::pair<unsigned long long const, species*>&)
  0.00     79.74     0.00       22     0.00     0.00  species::get_species_ID()
  0.00     79.74     0.00       18     0.00     0.00  std::string __gnu_cxx::__to_xstring<std::string, char>(int (*)(char*, unsigned long long, char const*, char*), unsigned long long, char const*, ...)
  0.00     79.74     0.00       18     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00     79.74     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator(unsigned long long const* const&)
  0.00     79.74     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::base() const
  0.00     79.74     0.00       18     0.00     0.00  char* std::string::_S_construct<char*>(char*, char*, std::allocator<char> const&)
  0.00     79.74     0.00       18     0.00     0.00  char* std::string::_S_construct<char*>(char*, char*, std::allocator<char> const&, std::forward_iterator_tag)
  0.00     79.74     0.00       18     0.00     0.00  char* std::string::_S_construct_aux<char*>(char*, char*, std::allocator<char> const&, std::__false_type)
  0.00     79.74     0.00       18     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*>(char*, char*, std::allocator<char> const&)
  0.00     79.74     0.00       18     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00     79.74     0.00       18     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00     79.74     0.00       18     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00     79.74     0.00       17     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::operator[](unsigned long long)
  0.00     79.74     0.00       15     0.00     0.00  unsigned long long const& std::forward<unsigned long long const&>(std::remove_reference<unsigned long long const&>::type&)
  0.00     79.74     0.00       12     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_get_Node_allocator()
  0.00     79.74     0.00       12     0.00     0.00  species*& std::forward<species*&>(std::remove_reference<species*&>::type&)
  0.00     79.74     0.00       12     0.00     0.00  std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*& std::forward<std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*&>(std::remove_reference<std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*&>::type&)
  0.00     79.74     0.00       12     0.00     0.00  unsigned long long& std::forward<unsigned long long&>(std::remove_reference<unsigned long long&>::type&)
  0.00     79.74     0.00       11     0.00     0.00  std::pair<unsigned long long, species*>::first_type& std::_Select1st<std::pair<unsigned long long const, species*> >::operator()<std::pair<unsigned long long, species*> >(std::pair<unsigned long long, species*>&) const
  0.00     79.74     0.00       10     0.00     0.00  operator new(unsigned long long, void*)
  0.00     79.74     0.00        9     0.00     0.00  bool __gnu_cxx::operator==<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&)
  0.00     79.74     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::max_size() const
  0.00     79.74     0.00        9     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::end() const
  0.00     79.74     0.00        9     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::begin() const
  0.00     79.74     0.00        9     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::empty() const
  0.00     79.74     0.00        9     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::size() const
  0.00     79.74     0.00        9     0.00     0.00  std::multimap<unsigned long long, species*, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::size() const
  0.00     79.74     0.00        9     0.00     0.00  std::_Iter_base<unsigned long long*, false>::_S_base(unsigned long long*)
